2024-01-01 12:54:31,102 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_created():275] file/dir created: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\wandb-metadata.json
2024-01-01 12:54:32,019 DEBUG   SenderThread:7748 [sender.py:send():303] send: telemetry
2024-01-01 12:54:32,019 DEBUG   SenderThread:7748 [sender.py:send():303] send: telemetry
2024-01-01 12:54:32,019 DEBUG   SenderThread:7748 [sender.py:send():303] send: config
2024-01-01 12:54:32,019 DEBUG   SenderThread:7748 [sender.py:send():303] send: config
2024-01-01 12:54:32,115 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_created():275] file/dir created: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:32,605 INFO    Thread-22 :7748 [upload_job.py:push():143] Uploaded file C:\Users\32658\AppData\Local\Temp\tmpz0_qxwbzwandb\1ko0dsqj-wandb-metadata.json
2024-01-01 12:54:34,135 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:36,154 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:38,173 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:47,027 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:54:47,027 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:54:54,338 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:55,351 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\config.yaml
2024-01-01 12:54:56,368 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:54:58,383 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:55:03,003 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:55:03,003 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:55:16,597 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 12:55:19,129 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:55:19,129 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:55:27,086 DEBUG   SystemMonitor:7748 [system_monitor.py:_start():130] Starting system metrics aggregation loop
2024-01-01 12:55:27,086 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:55:35,353 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:55:35,359 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:55:53,595 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:55:53,600 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:56:01,307 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:56:10,991 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:56:11,560 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:56:31,606 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:56:40,137 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:56:40,287 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:56:50,982 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:56:50,983 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:57:02,634 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:57:07,852 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:57:07,853 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:57:27,869 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:57:29,380 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:57:32,637 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:57:48,171 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:57:48,585 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:58:06,311 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:58:09,077 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:58:09,150 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:58:26,106 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:58:26,951 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:58:45,696 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:58:48,019 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:58:48,101 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:59:03,211 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:59:06,127 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:59:06,128 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:59:22,215 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:59:22,215 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:59:33,222 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 12:59:38,339 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:59:38,340 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 12:59:54,723 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 12:59:54,723 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:00:03,227 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 13:00:10,139 INFO    Thread-17 :7748 [dir_watcher.py:_on_file_modified():292] file/dir modified: D:\YOLO\yolov7\wandb\run-20240101_125423-ecy4ycl9\files\output.log
2024-01-01 13:00:10,872 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:00:10,872 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:00:27,836 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:00:31,062 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:00:37,441 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 13:00:47,895 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:00:47,904 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:01:03,991 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 13:01:12,078 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:01:13,814 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:01:27,680 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:01:43,460 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
2024-01-01 13:01:45,913 DEBUG   SenderThread:7748 [sender.py:send():303] send: stats
2024-01-01 13:01:47,674 DEBUG   HandlerThread:7748 [handler.py:handle_request():139] handle_request: stop_status
2024-01-01 13:01:47,674 DEBUG   SenderThread:7748 [sender.py:send_request():317] send_request: stop_status
